miRNA	ICS_vs_C_pvalue	ICS_vs_C_log2(FC)	UC_vs_C_pvalue	UC_vs_C_log2(FC)	UC_vs_ICS_pvalue	UC_vs_ICS_log2(FC)
hsa-miR-136-5p	0.103725995366862	-1.53734987240946	0.00128973193988674	-2.56882669038593	0.247450691723138	-1.03147681797647
hsa-miR-199b-5p	0.525398682620381	-0.224747183619913	0.0340693362365189	0.557023117465754	0.0290783519885687	0.781770301085667
hsa-miR-103a-3p	0.208043941520856	-0.256235151750041	0.0320436058758848	-0.74388768327026	0.0320436058758848	-0.487652531520218
hsa-miR-185-5p	0.123194815683711	0.421168224956311	0.283929423652132	-0.671979145431133	0.000323206205559147	-1.09314737038744
hsa-miR-24-3p	0.103262954572265	0.778895173664599	0.00295485524248086	1.26398007242502	0.103262954572265	0.485084898760418
hsa-miR-23a-3p	0.000452055256402153	1.03114368877884	0.000452055256402153	1.07961330630906	0.80020751285931	0.048469617530219
hsa-miR-99b-5p	0.152123804987582	-0.633722325920909	0.551631340795428	0.345396333972372	0.0169683257918552	0.979118659893281
hsa-miR-23b-3p	0.00120185373920735	0.882465665518464	0.0665958082837878	0.382705636116048	0.0294968189705032	-0.499760029402416
hsa-miR-505-3p	0.00141075777096776	1.79214238437989	0.00294476017991969	1.26534845044594	0.00684145575786443	-0.526793933933953
hsa-miR-18a-5p	0.409951873405905	-0.295134182496976	0.00617534303090906	-1.0245447513373	0.00617534303090906	-0.729410568840323
hsa-miR-92a-3p	0.00794252187441042	-1.27296109801822	0.254302972569226	-0.44725398172444	0.0786388534066552	0.825707116293781
hsa-miR-126-3p	0.814873350949785	-0.0863471837287327	0.0271821129772211	0.705111226205084	0.0271821129772211	0.791458409933816
hsa-miR-323a-3p	0.669066227889757	0.318600728468401	0.00611888111888112	1.99921121762186	0.00611888111888112	1.68061048915346
hsa-miR-125a-5p	0.00506331735299295	-1.0445747364545	0.582414489535233	-0.30487161411926	0.00928792569659443	0.739703122335242
hsa-miR-30d-5p	0.90340721919522	-0.0540845000006164	0.00178889425654163	1.07564218540685	0.00178889425654163	1.12972668540747
hsa-miR-665	0.587718497009788	-3.32401621359877	0.604912653640612	-1.65816788213715	0.0011397271459191	1.66584833146162
hsa-miR-628-3p	0.081913694930616	-0.958500316171414	0.321530618846887	0.314664729133669	0.0234335156728574	1.27316504530508
hsa-miR-940	0.163739887719525	-0.522478557973698	0.0358316402201842	-1.01523736896852	0.293732055676392	-0.492758810994823
hsa-miR-631	0.257142857142857	1.10122993318834	0.257142857142857	-3.41592646595696	0.032967032967033	-4.51715639914529
hsa-miR-663a	0.00166458928068835	-3.03158405052079	0.00776965664568303	-2.32247787136869	1	0.709106179152098
hsa-let-7c-5p	0.0190776715544517	-0.984158754832726	0.380971969207263	0.385634725835016	0.0190776715544517	1.36979348066774
hsa-miR-335-5p	0.426167228024813	0.270814173214292	0.0109549892831627	1.01402398651655	0.133814328086774	0.74320981330226
hsa-let-7d-3p	0.0373743903155668	0.456180298486409	0.0169335308654194	0.793151652863869	0.123005477494642	0.33697135437746
hsa-miR-671-5p	0.010132282578103	-1.06945792960863	0.000246812011517894	-2.60233972698025	0.00620277555262075	-1.53288179737161
hsa-miR-877-5p	0.0077940635216177	-1.35465800225635	0.557264201227049	0.758254975839869	0.0077940635216177	2.11291297809621
hsa-miR-10b-5p	0.155924552660267	-0.594232526527602	0.0104845665919352	0.742291135867312	0.000745991295589713	1.33652366239491
hsa-miR-652-3p	0.122911144582971	-0.568385051010026	0.122911144582971	0.685601095393052	0.0381553431089035	1.25398614640308
hsa-miR-126-5p	1	-0.0112030806524933	0.0119246078998401	0.887552954586434	0.0119246078998401	0.898756035238928
hsa-miR-223-3p	0.00160327288810261	1.56479119517923	0.00486422986086467	1.22796132415545	0.251204935415462	-0.336829871023783
hsa-miR-627-5p	0.202967311326444	-1.44147869450973	0.202967311326444	-0.20135099696939	0.0124055511052415	1.24012769754034
hsa-miR-34b-3p	0.455944055944056	1.56003803992611	0.00826820238584944	2.72552352960709	0.17022977022977	1.16548548968099
hsa-miR-17-5p	0.0194202082746974	0.40416792112778	0.231577548847706	-0.0137742130547392	0.0432083396479681	-0.41794213418252
hsa-miR-148b-3p	0.0454930047742001	0.760948911064064	0.0454930047742001	0.688183231678257	0.80940473355334	-0.0727656793858072
hsa-miR-145-5p	0.000644865969943369	0.817930820647954	0.496506589385846	-0.1084567061764	0.000617030028794735	-0.926387526824355
hsa-miR-29a-3p	0.019318597004019	-1.04679311245358	0.019318597004019	-1.38152931289382	0.0845212578958709	-0.334736200440249
hsa-miR-326	0.00510449547690033	1.02334940955628	0.986806536305496	0.00740142471743417	0.00510449547690033	-1.01594798483884
hsa-miR-296-5p	0.0132870225749483	-1.28570055573628	0.601599020174872	-0.119889168977672	0.234601312000693	1.16581138675861
hsa-miR-20b-5p	0.694702524558494	0.492369793594911	0.0413085366645738	1.38000102344457	0.108001905215528	0.887631229849655
hsa-miR-151a-5p	0.0132870225749483	0.997122882705552	0.0167294006303294	0.937826933973459	0.911797181147026	-0.0592959487320933
hsa-miR-509-3p	0.0300607287449393	-10.2906143978689	0.548961874039274	-5.47484214713459	0.0185758513931889	4.81577225073434
hsa-miR-146b-5p	0.650549746390371	-1.5025410034128	0.0442197121763685	-2.17366097045462	0.0442197121763685	-0.671119967041819
hsa-miR-216a-5p	0.0233100233100233	-1.92284460499329	0.0233100233100233	-2.36345463146709	0.778865578865579	-0.440610026473801
hsa-miR-106a-5p	0.117928107697929	-0.207747213703195	0.0214336746844487	-0.70860659920965	0.0915013778790869	-0.500859385506455
hsa-miR-33b-5p	0.0507978090021434	0.552550920375053	0.343145193299992	-0.963187739171359	0.00172768408062526	-1.51573865954641
hsa-miR-484	0.0665958082837878	-0.468653763855659	0.0194202082746974	-0.93868409764294	0.0665958082837878	-0.470030333787281
hsa-miR-148a-3p	0.0169335308654194	1.14888492970428	0.87175981912824	0.0390112181111678	0.0531944835350408	-1.10987371159311
hsa-miR-642a-5p	0.00455890858367639	2.00069090709985	0.0878239407651172	0.770477207325658	0.0878239407651172	-1.23021369977419
hsa-miR-31-5p	0.227629955184135	-2.91020699586363	0.00794252187441042	-4.53105072455439	0.0278150641927732	-1.62084372869076
hsa-miR-451a	0.831546431761804	-0.167391528310495	0.0454930047742001	-1.13440366731089	0.0205243672735933	-0.967012139000399
hsa-miR-27b-3p	0.00191946968094498	0.833696867351512	0.00617534303090906	1.4286069483768	0.165493948775683	0.59491008102529
hsa-miR-374a-5p	0.0148313121795421	1.1043338043044	0.0123506860618181	1.03955947081298	0.795936261880534	-0.0647743334914203
hsa-miR-520d-5p	0.0176470588235294	5.69085707083987	0.685714285714286	1.91431339941302	0.685714285714286	-3.77654367142685
hsa-miR-521	0.666666666666667	-4.6055781110763	0.0454545454545455	-12.1982412581679	0.0454545454545455	-7.59266314709159
hsa-miR-450b-3p	0.0043956043956044	-6.27091842970727	0.4	-4.58892550303795	0.25	1.68199292666933
hsa-miR-496	0.0097778382608104	-2.59854480519242	0.146820671588473	-1.23579057299586	0.19958864664747	1.36275423219655
hsa-miR-876-3p	0.131868131868132	-5.4716956684116	1	0.403259843853795	0.0164835164835165	5.87495551226539
hsa-miR-641	0.156043956043956	-6.31319903811669	0.857142857142857	-1.00185318996901	0.0164835164835165	5.31134584814769
hsa-miR-300	0.0399698340874811	2.1060846566078	0.0399698340874811	1.74031937345624	0.657405202296843	-0.365765283151562
hsa-let-7f-1-3p	0.226394998644822	-0.659692909764278	0.120512742592357	0.68806490244237	0.0218159255194986	1.34775781220665
