miRNA	ICS_vs_C_pvalue	ICS_vs_C_log2(FC)	UC_vs_C_pvalue	UC_vs_C_log2(FC)	UC_vs_ICS_pvalue	UC_vs_ICS_log2(FC)
hsa-miR-136-5p	0.103725995366862	-1.53734987240946	0.00128973193988674	-2.56882669038593	0.247450691723138	-1.03147681797647
hsa-miR-199b-5p	0.282933784481772	-0.0872543079788523	0.0340693362365189	0.557023117465754	0.0340693362365189	0.644277425444606
hsa-miR-103a-3p	0.208043941520856	-0.256235151750041	0.0320436058758848	-0.74388768327026	0.0320436058758848	-0.487652531520218
hsa-miR-185-5p	0.123194815683711	0.421168224956311	0.283929423652132	-0.671979145431133	0.000323206205559147	-1.09314737038744
hsa-miR-24-3p	0.114502906835434	0.663417959974727	0.00607361527851281	1.14850285873514	0.114502906835434	0.485084898760417
hsa-miR-23a-3p	0.000452055256402153	1.03114368877884	0.000452055256402153	1.07961330630906	0.80020751285931	0.048469617530219
hsa-miR-23b-3p	0.00120185373920735	0.882465665518464	0.0665958082837878	0.382705636116048	0.0294968189705032	-0.499760029402416
hsa-miR-505-3p	0.00455890858367639	1.55666751288158	0.00684145575786443	1.02987357894763	0.00684145575786443	-0.526793933933952
hsa-miR-18a-5p	0.227629955184135	-0.410381425064147	0.00128973193988674	-1.13979199390447	0.00582931000887657	-0.729410568840322
hsa-miR-92a-3p	0.00794252187441042	-1.27296109801822	0.254302972569226	-0.44725398172444	0.0786388534066552	0.825707116293781
hsa-miR-126-3p	0.884003316091557	0.0511558754487678	0.0450076080220763	0.705111226205084	0.0450076080220763	0.653955350756316
hsa-miR-421	0.62004662004662	-6.18388817067977	0.227972027972028	-8.276860787026	0.027972027972028	-2.09297261634623
hsa-miR-125a-5p	0.00506331735299295	-1.0445747364545	0.582414489535233	-0.30487161411926	0.00928792569659443	0.739703122335242
hsa-miR-30d-5p	0.846142527375775	0.0834174861674555	0.0030305962744392	1.07564218540685	0.00436377910970405	0.992224699239396
hsa-miR-29b-2-5p	0.0119703825586179	0.985502008689224	0.528671328671329	0.455444417234487	0.216983016983017	-0.530057591454737
hsa-miR-665	0.587718497009788	-3.32401621359877	0.604912653640612	-1.65816788213715	0.0011397271459191	1.66584833146162
hsa-miR-628-3p	0.081913694930616	-0.958500316171414	0.321530618846887	0.314664729133669	0.0234335156728574	1.27316504530508
hsa-miR-663a	0.00166458928068835	-3.03158405052079	0.0369158189591626	-2.00403088279048	0.4234471410942	1.02755316773031
hsa-miR-29b-3p	0.496506589385846	-0.0455996464723723	0.0373743903155668	-1.00949551754986	0.0373743903155668	-0.963895871077492
hsa-let-7c-5p	0.0190776715544517	-0.984158754832726	0.380971969207263	0.385634725835016	0.0190776715544517	1.36979348066774
hsa-miR-324-5p	0.0304488718147826	-0.785249417372806	0.0619006809094346	-0.568545240953075	0.5510223339995	0.216704176419732
hsa-miR-335-5p	0.426167228024813	0.270814173214292	0.0109549892831627	1.01402398651655	0.133814328086774	0.74320981330226
hsa-let-7d-3p	0.0373743903155668	0.456180298486409	0.0169335308654194	0.793151652863869	0.123005477494642	0.33697135437746
hsa-miR-671-5p	0.0187577128753599	-0.92047345178804	0.000493624023035788	-2.43829991674001	0.000863842040312629	-1.51782646495197
hsa-miR-877-5p	0.0145391759942844	-1.20386818675329	0.294724934508216	0.909482122198743	0.00234471410941999	2.11335030895203
hsa-miR-10b-5p	0.155924552660267	-0.594232526527602	0.0104845665919352	0.742291135867312	0.000745991295589713	1.33652366239491
hsa-miR-652-3p	0.122911144582971	-0.568385051010026	0.122911144582971	0.685601095393052	0.0381553431089035	1.25398614640308
hsa-miR-126-5p	1	-0.0112030806524933	0.0119246078998401	0.887552954586434	0.0119246078998401	0.898756035238928
hsa-miR-223-3p	0.00160327288810261	1.56479119517923	0.00486422986086467	1.22796132415545	0.251204935415462	-0.336829871023783
hsa-miR-627-5p	0.202967311326444	-1.44147869450973	0.202967311326444	-0.20135099696939	0.0124055511052415	1.24012769754034
hsa-miR-17-5p	0.0334588012606589	0.288690708014637	0.346279107889015	-0.129251426167884	0.0432083396479681	-0.417942134182521
hsa-miR-145-5p	0.000644865969943369	0.817930820647954	0.496506589385846	-0.1084567061764	0.000617030028794735	-0.926387526824355
hsa-miR-29a-3p	0.00327717779595556	-1.16227032544234	0.00327717779595556	-1.49700652588259	0.0845212578958709	-0.334736200440247
hsa-miR-326	0.00736507999878811	0.899481308877549	0.786311450492008	-0.116466675961293	0.00736507999878811	-1.01594798483884
hsa-miR-296-5p	0.0132870225749483	-1.28570055573628	0.910105580693816	0.0495856272594895	0.0651309474838887	1.33528618299577
hsa-miR-20b-5p	0.694702524558494	0.492369793594911	0.0413085366645738	1.38000102344457	0.108001905215528	0.887631229849655
hsa-miR-151a-5p	0.0132870225749483	0.997122882705552	0.0167294006303294	0.937826933973459	0.911797181147026	-0.0592959487320933
hsa-miR-874-3p	0.0402003434713086	-0.839672034361227	0.97227230973361	-0.00848617240822719	0.0290783519885687	0.831185861953
hsa-miR-146b-5p	0.650549746390371	-1.5025410034128	0.0442197121763685	-2.17366097045462	0.0442197121763685	-0.671119967041819
hsa-miR-377-3p	0.0644456163032014	-5.41720563107806	0.0476899261728983	-5.69710981057975	0.400181861482171	-0.279904179501692
hsa-miR-216a-5p	0.0899100899100899	-1.41821889490755	0.035964035964036	-2.05193150990913	0.30952380952381	-0.633712615001583
hsa-miR-106a-5p	0.117928107697929	-0.207747213703195	0.0214336746844487	-0.70860659920965	0.0915013778790869	-0.500859385506455
hsa-miR-183-5p	0.0204016829403826	0.717227756496063	0.0571921886163372	0.62929755877815	0.888358700123406	-0.0879301977179122
hsa-miR-33b-5p	0.0507978090021434	0.552550920375053	0.343145193299992	-0.963187739171359	0.00172768408062526	-1.51573865954641
hsa-miR-484	0.0665958082837878	-0.468653763855659	0.0194202082746974	-0.93868409764294	0.0665958082837878	-0.470030333787281
hsa-miR-148a-3p	0.0302793182050148	1.02353368014825	0.60473015116978	-0.086340031444862	0.0531944835350408	-1.10987371159311
hsa-miR-642a-5p	0.0170170386888653	1.71330277139242	0.210489510489511	0.483089071618227	0.131735911147676	-1.23021369977419
hsa-miR-31-5p	0.227629955184135	-2.91020699586363	0.00794252187441042	-4.53105072455439	0.0278150641927732	-1.62084372869076
hsa-miR-451a	0.582414489535233	-0.282868745703838	0.0107168373422243	-1.24988088470424	0.0107168373422243	-0.967012139000399
hsa-miR-27b-3p	0.00191946968094498	0.833696867351512	0.00617534303090906	1.4286069483768	0.165493948775683	0.59491008102529
hsa-miR-374a-5p	0.0253492637393566	0.989360106935384	0.0214336746844487	0.924585773443965	0.795936261880534	-0.0647743334914191
hsa-miR-138-5p	0.0512820512820513	-5.59007929195853	0.0181818181818182	-6.81755018631072	0.0181818181818182	-1.22747089435218
hsa-miR-1538	0.00699300699300699	-2.13261099113213	0.00699300699300699	-1.92120895869129	0.284382284382284	0.211402032440842
hsa-miR-136-3p	0.242245989304813	-0.935790255570789	0.4234471410942	0.275629191054473	0.0333196215549157	1.21141944662526
hsa-miR-1260a	0.0492625851637325	0.618349376236397	0.0492625851637325	-1.37991323619588	0.00109242067186118	-1.99826261243228
hsa-let-7f-2-3p	0.0049297451774232	1.2480478999441	0.456096689688021	0.429129203151716	0.0937885643767997	-0.818918696792379
hsa-miR-300	0.00468942821883998	2.08949567030282	0.020979020979021	1.6216681602012	0.351048951048951	-0.467827510101619
