miRNA	ICS_vs_C_pvalue	ICS_vs_C_log2(FC)	UC_vs_C_pvalue	UC_vs_C_log2(FC)	UC_vs_ICS_pvalue	UC_vs_ICS_log2(FC)
hsa-miR-199b-5p	0.422910236136586	-0.224747183619913	0.026808595580984	0.557023117465754	0.0694968488480638	0.781770301085667
hsa-miR-103a-3p	0.157372577262884	-0.256235151750041	0.0335006140146821	-0.74388768327026	0.110288952124303	-0.487652531520218
hsa-miR-185-5p	0.144049680387639	0.421168224956311	0.144049680387639	-0.671979145431133	0.0130021163135816	-1.09314737038744
hsa-miR-24-3p	0.133110387496204	0.778895173664599	0.0165498638955714	1.26398007242502	0.158574505675883	0.485084898760418
hsa-miR-23a-3p	0.00367245671773597	1.03114368877884	0.0186679354454879	1.07961330630906	0.746820796882038	0.048469617530219
hsa-miR-331-3p	0.988388065915612	0.0766299265222879	0.0562562026509212	0.392534956489355	0.0542946315211199	0.315905029967067
hsa-miR-23b-3p	0.00494553909830842	0.882465665518464	0.0784644663752063	0.382705636116048	0.0926523770913832	-0.499760029402416
hsa-miR-505-3p	4.08242292504468e-06	1.79214238437989	0.00216477754320721	1.26534845044594	0.00985920471757362	-0.526793933933953
hsa-miR-18a-5p	0.41268254723873	-0.295134182496976	0.0287528646688973	-1.0245447513373	0.0832509937511681	-0.729410568840323
hsa-miR-92a-3p	0.0452078206595257	-1.27296109801822	0.359326302440281	-0.44725398172444	0.359326302440281	0.825707116293781
hsa-miR-625-3p	0.0573710444639852	-0.447146924394192	0.246122313834016	0.535967506116629	0.0573710444639852	0.983114430510821
hsa-miR-323a-3p	0.697934525102269	0.318600728468401	0.0574909638576493	1.99921121762186	0.0574909638576493	1.68061048915346
hsa-miR-125a-5p	0.125541088667999	-1.0445747364545	0.61696125502955	-0.30487161411926	0.0733774334864927	0.739703122335242
hsa-miR-202-3p	0.267339135376089	-1.21727350226674	0.00316522794466456	-2.25560574668571	0.267339135376089	-1.03833224441897
hsa-miR-30d-5p	0.858832515704244	-0.0540845000006164	0.0521115969491008	1.07564218540685	0.0521115969491008	1.12972668540747
hsa-miR-628-3p	0.257921452137101	-0.958500316171414	0.410595940756041	0.314664729133669	0.0145066314175588	1.27316504530508
hsa-miR-940	0.103974009090122	-0.522478557973698	0.0215476282372711	-1.01523736896852	0.209109868213292	-0.492758810994823
hsa-miR-200b-3p	0.204951071840044	-0.277281137188502	0.023031047504193	-1.12431889430219	0.0942984520302863	-0.847037757113684
hsa-miR-29b-3p	0.235482502262514	-0.183100803280869	0.10367445940428	-1.00949551754986	0.10367445940428	-0.826394714268995
