miRNA	ICS_vs_C_pvalue	ICS_vs_C_log2(FC)	UC_vs_C_pvalue	UC_vs_C_log2(FC)	UC_vs_ICS_pvalue	UC_vs_ICS_log2(FC)
hsa-miR-199b-5p	0.252267859361028	-0.0872543079788523	0.026808595580984	0.557023117465754	0.115379218037583	0.644277425444606
hsa-miR-103a-3p	0.157372577262884	-0.256235151750041	0.0335006140146821	-0.74388768327026	0.110288952124303	-0.487652531520218
hsa-miR-185-5p	0.144049680387639	0.421168224956311	0.144049680387639	-0.671979145431133	0.0130021163135816	-1.09314737038744
hsa-miR-24-3p	0.158574505675884	0.663417959974727	0.0193113106475098	1.14850285873514	0.158574505675884	0.485084898760417
hsa-miR-23a-3p	0.00367245671773597	1.03114368877884	0.0186679354454879	1.07961330630906	0.746820796882038	0.048469617530219
hsa-miR-331-3p	0.988388065915612	0.0766299265222879	0.0562562026509212	0.392534956489355	0.0542946315211199	0.315905029967067
hsa-miR-23b-3p	0.00494553909830842	0.882465665518464	0.0784644663752063	0.382705636116048	0.0926523770913832	-0.499760029402416
hsa-miR-505-3p	2.75077530733636e-05	1.55666751288158	0.005651871832971	1.02987357894763	0.00985920471757384	-0.526793933933952
hsa-miR-18a-5p	0.307757941190853	-0.410381425064147	0.0245369800665576	-1.13979199390447	0.0832509937511663	-0.729410568840322
hsa-miR-92a-3p	0.0452078206595257	-1.27296109801822	0.359326302440281	-0.44725398172444	0.359326302440281	0.825707116293781
hsa-miR-625-3p	0.0573710444639852	-0.447146924394192	0.246122313834016	0.535967506116629	0.0573710444639852	0.983114430510821
hsa-miR-181d-5p	0.945800910526764	-0.0345525960401159	0.0461744776247071	0.630696627309034	0.0761291165998426	0.66524922334915
hsa-miR-125a-5p	0.125541088667999	-1.0445747364545	0.61696125502955	-0.30487161411926	0.0733774334864927	0.739703122335242
hsa-miR-30d-5p	0.976505462713898	0.0834174861674555	0.0521115969491008	1.07564218540685	0.0521115969491008	0.992224699239396
hsa-miR-29b-2-5p	0.0280189450629926	0.985502008689224	0.398895322914563	0.455444417234487	0.281226055415781	-0.530057591454737
hsa-miR-628-3p	0.257921452137101	-0.958500316171414	0.410595940756041	0.314664729133669	0.0145066314175588	1.27316504530508
hsa-miR-200b-3p	0.433282403293673	-0.12570596112527	0.0412059165258114	-0.955635138863142	0.101240534026586	-0.829929177737872
hsa-miR-29b-3p	0.285189447704697	-0.0455996464723723	0.0926690588943782	-1.00949551754986	0.0926690588943782	-0.963895871077492
hsa-let-7c-5p	0.137869391326983	-0.984158754832726	0.137869391326983	0.385634725835016	0.00815447658500013	1.36979348066774
hsa-miR-324-5p	0.0336505201469188	-0.785249417372806	0.151233761464487	-0.568545240953075	0.151233761464487	0.216704176419732
hsa-miR-19b-3p	0.0707350104786932	0.247670263644003	0.043952883559452	0.838554436846874	0.0707350104786932	0.590884173202871
hsa-miR-30b-5p	0.541830820801733	0.165770097037074	0.0192097684495498	0.61393930593609	0.0396524115137891	0.448169208899016
hsa-miR-335-5p	0.204407580204118	0.270814173214292	0.0453096467084537	1.01402398651655	0.118731095733925	0.74320981330226
hsa-miR-19a-3p	0.821802181689173	-0.0971234984543717	0.0212769095073551	0.814399184437891	0.0212769095073551	0.911522682892263
hsa-let-7d-3p	0.000862829541480092	0.456180298486409	0.00624881580530223	0.793151652863869	0.129713447521331	0.33697135437746
hsa-miR-671-5p	0.0212914876182491	-0.92047345178804	0.00753700610474839	-2.43829991674001	0.00753700610474839	-1.51782646495197
hsa-miR-877-5p	0.00932095422868651	-1.20386818675329	0.303812292322313	0.909482122198743	0.0217853923687055	2.11335030895203
hsa-miR-10b-5p	0.096729468339805	-0.594232526527602	0.0883512961151274	0.742291135867312	0.0246468254690622	1.33652366239491
hsa-miR-652-3p	0.132328752560192	-0.568385051010026	0.0934031475402675	0.685601095393052	0.0203519290751917	1.25398614640308
hsa-miR-223-3p	0.00623403230306163	1.56479119517923	0.0596943984991656	1.22796132415545	0.329732653667671	-0.336829871023783
hsa-miR-627-5p	0.23051504341493	-1.44147869450973	0.23051504341493	-0.20135099696939	0.0244505331420708	1.24012769754034
hsa-miR-148b-3p	0.179825006262734	0.645471735770855	0.0222479837829819	0.572706056385046	0.49831951779733	-0.0727656793858092
hsa-miR-145-5p	0.0208722961022296	0.817930820647954	0.538386832512039	-0.1084567061764	0.0208722961022296	-0.926387526824355
hsa-let-7a-5p	0.684206780997065	0.591403866413898	0.0371086942360956	0.679920679391343	0.0793956409114656	0.0885168129774447
hsa-miR-29a-3p	0.0897036236260509	-1.16227032544234	0.056884312079106	-1.49700652588259	0.205944805524338	-0.334736200440247
hsa-miR-326	0.0447857614231397	0.899481308877549	0.405152600856594	-0.116466675961293	0.030433968138093	-1.01594798483884
hsa-miR-296-5p	0.00871459758737458	-1.28570055573628	0.988828558010813	0.0495856272594895	0.062332315387247	1.33528618299577
hsa-miR-20b-5p	0.473399746169474	0.492369793594911	0.0751276505209066	1.38000102344457	0.103080942736268	0.887631229849655
hsa-miR-151a-5p	0.0354711450160421	0.997122882705552	0.0154101178287038	0.937826933973459	0.825118644373565	-0.0592959487320933
hsa-miR-106a-5p	0.151825697686338	-0.207747213703195	0.00842494078623135	-0.70860659920965	0.151825697686338	-0.500859385506455
hsa-miR-425-3p	0.0155079392420228	-0.571023232890773	0.085882778905213	-0.515651534445822	0.524696730255047	0.0553716984449505
hsa-miR-183-5p	0.0154456263444196	0.717227756496063	0.0418909294430403	0.62929755877815	0.773531965750822	-0.0879301977179122
